"Time","Internet-Traffic"
"2004-11-19 09:30:00",4838.665
"2004-11-19 09:35:00",4845.177
"2004-11-19 09:40:00",5157.996
"2004-11-19 09:45:00",5637.876
"2004-11-19 09:50:00",5520.69
"2004-11-19 09:55:00",5626.337
"2004-11-19 10:00:00",5350.546
"2004-11-19 10:05:00",5356.983
"2004-11-19 10:10:00",5385.814
"2004-11-19 10:15:00",5403.906
"2004-11-19 10:20:00",5666.348
"2004-11-19 10:25:00",5764.142
"2004-11-19 10:30:00",5902.474
"2004-11-19 10:35:00",6012.859
"2004-11-19 10:40:00",5829.679
"2004-11-19 10:45:00",5852.245
"2004-11-19 10:50:00",6185.16
"2004-11-19 10:55:00",5927.107
"2004-11-19 11:00:00",5855.695
"2004-11-19 11:05:00",5866.18
"2004-11-19 11:10:00",5905.206
"2004-11-19 11:15:00",5848.887
"2004-11-19 11:20:00",6016.66
"2004-11-19 11:25:00",5936.597
"2004-11-19 11:30:00",6169.697
"2004-11-19 11:35:00",6313.159
"2004-11-19 11:40:00",6264.738
"2004-11-19 11:45:00",6385.849
"2004-11-19 11:50:00",6478.062
"2004-11-19 11:55:00",6524.345
"2004-11-19 12:00:00",6620.18
"2004-11-19 12:05:00",6438.393
"2004-11-19 12:10:00",6513.466
"2004-11-19 12:15:00",6443.066
"2004-11-19 12:20:00",6531.194
"2004-11-19 12:25:00",6571.118
"2004-11-19 12:30:00",6545.468
"2004-11-19 12:35:00",6418.973
"2004-11-19 12:40:00",6693.885
"2004-11-19 12:45:00",6601.722
"2004-11-19 12:50:00",6524.867
"2004-11-19 12:55:00",6446.837
"2004-11-19 13:00:00",6550.387
"2004-11-19 13:05:00",6263.461
"2004-11-19 13:10:00",6315.622
"2004-11-19 13:15:00",6299.67
"2004-11-19 13:20:00",6317.647
"2004-11-19 13:25:00",6362.241
"2004-11-19 13:30:00",6664.304
"2004-11-19 13:35:00",6437.558
"2004-11-19 13:40:00",6594.328
"2004-11-19 13:45:00",6543.169
"2004-11-19 13:50:00",6557.974
"2004-11-19 13:55:00",6575.689
"2004-11-19 14:00:00",6654.107
"2004-11-19 14:05:00",6552.579
"2004-11-19 14:10:00",6814.238
"2004-11-19 14:15:00",6714.279
"2004-11-19 14:20:00",6928.067
"2004-11-19 14:25:00",6824.467
"2004-11-19 14:30:00",6926.026
"2004-11-19 14:35:00",6919.605
"2004-11-19 14:40:00",7061.944
"2004-11-19 14:45:00",6862.193
"2004-11-19 14:50:00",6880.208
"2004-11-19 14:55:00",6746.61
"2004-11-19 15:00:00",6719.177
"2004-11-19 15:05:00",6672.826
"2004-11-19 15:10:00",6701.45
"2004-11-19 15:15:00",6562.534
"2004-11-19 15:20:00",6516.693
"2004-11-19 15:25:00",6534.142
"2004-11-19 15:30:00",6644.532
"2004-11-19 15:35:00",6505.41
"2004-11-19 15:40:00",6563.202
"2004-11-19 15:45:00",6339.707
"2004-11-19 15:50:00",6294.199
"2004-11-19 15:55:00",6381.651
"2004-11-19 16:00:00",6336.516
"2004-11-19 16:05:00",6164.897
"2004-11-19 16:10:00",6012.195
"2004-11-19 16:15:00",5986.157
"2004-11-19 16:20:00",6062.303
"2004-11-19 16:25:00",5936.79
"2004-11-19 16:30:00",5877.61
"2004-11-19 16:35:00",5895.719
"2004-11-19 16:40:00",5722.355
"2004-11-19 16:45:00",5790.587
"2004-11-19 16:50:00",5703.702
"2004-11-19 16:55:00",5576.885
"2004-11-19 17:00:00",5519.508
"2004-11-19 17:05:00",5435.709
"2004-11-19 17:10:00",5482.644
"2004-11-19 17:15:00",5359.547
"2004-11-19 17:20:00",5365.521
"2004-11-19 17:25:00",5203.538
"2004-11-19 17:30:00",5189.482
"2004-11-19 17:35:00",5013.701
"2004-11-19 17:40:00",5014.928
"2004-11-19 17:45:00",5036.503
"2004-11-19 17:50:00",5022.582
"2004-11-19 17:55:00",4994.482
"2004-11-19 18:00:00",5018.352
"2004-11-19 18:05:00",4919.71
"2004-11-19 18:10:00",4850.332
"2004-11-19 18:15:00",4833.06
"2004-11-19 18:20:00",4730.52
"2004-11-19 18:25:00",4834.666
"2004-11-19 18:30:00",4800.652
"2004-11-19 18:35:00",4697.796
"2004-11-19 18:40:00",4750.136
"2004-11-19 18:45:00",4637.712
"2004-11-19 18:50:00",4683.585
"2004-11-19 18:55:00",4587.269
"2004-11-19 19:00:00",4534.205
"2004-11-19 19:05:00",4461
"2004-11-19 19:10:00",4553.044
"2004-11-19 19:15:00",4484.598
"2004-11-19 19:20:00",4464.475
"2004-11-19 19:25:00",4374.492
"2004-11-19 19:30:00",4461.231
"2004-11-19 19:35:00",4390.647
"2004-11-19 19:40:00",4350.761
"2004-11-19 19:45:00",4450.68
"2004-11-19 19:50:00",4372.37
"2004-11-19 19:55:00",4297.794
